,Pokemon Id,Pokedex Number,Name,Classification,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
373,505,377,Regirock,"""Rock Peak Pokemon""",1.7,230.0,"""Rock""",,"""Clear Body""","""Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.""",,,"""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""",0.0,0.0,35,"""Ruby""","""Hoenn""",80,100,200,50,100,50,580,0,0,3,0,0,0,3,3,"""Slow""",1250000,261,"""Undiscovered""",,80,,,377,Rock,,580,80,100,200,50,100,50,3,True
374,506,378,Regice,"""Iceberg Pokemon""",1.8,175.0,"""Ice""",,"""Clear Body""","""Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.""",,,"""Ice Body""","""The Pokémon gradually regains HP in a hailstorm.""",0.0,0.0,35,"""Ruby""","""Hoenn""",80,50,100,100,200,50,580,0,0,0,0,3,0,3,3,"""Slow""",1250000,261,"""Undiscovered""",,80,,,378,Ice,,580,80,50,100,100,200,50,3,True
375,507,379,Registeel,"""Iron Pokemon""",1.9,205.0,"""Steel""",,"""Clear Body""","""Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.""",,,"""Light Metal""","""Halves the Pokémon's weight.""",0.0,0.0,35,"""Ruby""","""Hoenn""",80,75,150,75,150,50,580,0,0,2,0,1,0,3,3,"""Slow""",1250000,261,"""Undiscovered""",,80,,,379,Steel,,580,80,75,150,75,150,50,3,True
376,508,380,Latias,"""Eon Pokemon""",1.4,40.0,"""Dragon""","""Psychic""","""Levitate""","""By floating in the air, the Pokémon receives full immunity to all Ground-type moves.""",,,,,0.0,100.0,90,"""Ruby""","""Hoenn""",80,80,90,110,130,110,600,0,0,0,0,3,0,3,3,"""Slow""",1250000,270,"""Undiscovered""",,120,,,380,Dragon,Psychic,600,80,80,90,110,130,110,3,True
377,509,381,Latios,"""Eon Pokemon""",2.0,60.0,"""Dragon""","""Psychic""","""Levitate""","""By floating in the air, the Pokémon receives full immunity to all Ground-type moves.""",,,,,100.0,0.0,90,"""Ruby""","""Hoenn""",80,90,80,130,110,110,600,0,0,0,3,0,0,3,3,"""Slow""",1250000,270,"""Undiscovered""",,120,,,381,Dragon,Psychic,600,80,90,80,130,110,110,3,True
378,510,382,Kyogre,"""Sea Basin Pokemon""",4.5,352.0,"""Water""",,"""Drizzle""","""The Pokémon makes it rain when it enters a battle.""",,,,,0.0,0.0,0,"""Ruby""","""Hoenn""",100,100,90,150,140,90,670,0,0,0,3,0,0,3,3,"""Slow""",1250000,302,"""Undiscovered""",,120,,,382,Water,,670,100,100,90,150,140,90,3,True
379,511,383,Groudon,"""Continent Pokemon""",3.5,950.0,"""Ground""",,"""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",,,,,0.0,0.0,0,"""Ruby""","""Hoenn""",100,150,140,100,90,90,670,0,3,0,0,0,0,3,3,"""Slow""",1250000,302,"""Undiscovered""",,120,,,383,Ground,,670,100,150,140,100,90,90,3,True
380,512,384,Rayquaza,"""Sky High Pokemon""",7.0,206.5,"""Dragon""","""Flying""","""Air Lock""","""Eliminates the effects of weather.""",,,,,0.0,0.0,0,"""Ruby""","""Hoenn""",105,150,90,150,90,95,680,0,2,0,1,0,0,3,45,"""Slow""",1250000,306,"""Undiscovered""",,120,,,384,Dragon,Flying,680,105,150,90,150,90,95,3,True
381,513,385,Jirachi,"""Wish Pokemon""",0.3,1.1,"""Steel""","""Psychic""","""Serene Grace""","""Boosts the likelihood of additional effects occurring when attacking.""",,,,,0.0,0.0,100,"""Ruby""","""Hoenn""",100,100,100,100,100,100,600,3,0,0,0,0,0,3,3,"""Slow""",1250000,270,"""Undiscovered""",,120,,,385,Steel,Psychic,600,100,100,100,100,100,100,3,True
382,591,387,Turtwig,"""Tiny Leaf Pokemon""",0.4,10.2,"""Grass""",,"""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",,,"""Shell Armor""","""A hard shell protects the Pokémon from critical hits.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",55,68,64,45,55,31,318,0,1,0,0,0,0,1,45,"""Medium Slow""",1059860,64,"""Monster""","""Grass""",20,,,387,Grass,,318,55,68,64,45,55,31,4,False
383,592,388,Grotle,"""Grove Pokemon""",1.1,97.0,"""Grass""",,"""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",,,"""Shell Armor""","""A hard shell protects the Pokémon from critical hits.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",75,89,85,55,65,36,405,0,1,1,0,0,0,2,45,"""Medium Slow""",1059860,142,"""Monster""","""Grass""",20,591.0,"""Level 18""",388,Grass,,405,75,89,85,55,65,36,4,False
384,593,389,Torterra,"""Continent Pokemon""",2.2,310.0,"""Grass""","""Ground""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",,,"""Shell Armor""","""A hard shell protects the Pokémon from critical hits.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",95,109,105,75,85,56,525,0,2,1,0,0,0,3,45,"""Medium Slow""",1059860,236,"""Monster""","""Grass""",20,592.0,"""Level 32""",389,Grass,Ground,525,95,109,105,75,85,56,4,False
385,34,390,Chimchar,"""Chimp Pokemon""",0.5,6.2,"""Fire""",,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,,,"""Iron Fist""","""Powers up punching moves.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",44,58,44,58,44,61,309,0,0,0,0,0,1,1,45,"""Medium Slow""",1059860,62,"""Field""","""Human-Like""",20,,,390,Fire,,309,44,58,44,58,44,61,4,False
386,35,391,Monferno,"""Playful Pokemon""",0.9,22.0,"""Fire""","""Fighting""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,,,"""Iron Fist""","""Powers up punching moves.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",64,78,52,78,52,81,405,0,0,0,1,0,1,2,45,"""Medium Slow""",1059860,142,"""Field""","""Human-Like""",20,34.0,"""Level 14""",391,Fire,Fighting,405,64,78,52,78,52,81,4,False
387,19,392,Infernape,"""Flame Pokemon""",1.2,55.0,"""Fire""","""Fighting""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,,,"""Iron Fist""","""Powers up punching moves.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",76,104,71,104,71,108,534,0,1,0,1,0,1,3,45,"""Medium Slow""",1059860,240,"""Field""","""Human-Like""",20,35.0,"""Level 36""",392,Fire,Fighting,534,76,104,71,104,71,108,4,False
388,594,393,Piplup,"""Penguin Pokemon""",0.4,5.2,"""Water""",,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,,,"""Defiant""","""Boosts the Pokémon's Attack stat sharply when its stats are lowered.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",53,51,53,61,56,40,314,0,0,0,1,0,0,1,45,"""Medium Slow""",1059860,63,"""Water 1""","""Field""",20,,,393,Water,,314,53,51,53,61,56,40,4,False
389,595,394,Prinplup,"""Penguin Pokemon""",0.8,23.0,"""Water""",,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,,,"""Defiant""","""Boosts the Pokémon's Attack stat sharply when its stats are lowered.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",64,66,68,81,76,50,405,0,0,0,2,0,0,2,45,"""Medium Slow""",1059860,142,"""Water 1""","""Field""",20,594.0,"""Level 16""",394,Water,,405,64,66,68,81,76,50,4,False
390,596,395,Empoleon,"""Emperor Pokemon""",1.7,84.5,"""Water""","""Steel""","""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,,,"""Defiant""","""Boosts the Pokémon's Attack stat sharply when its stats are lowered.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",84,86,88,111,101,60,530,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,239,"""Water 1""","""Field""",20,595.0,"""Level 36""",395,Water,Steel,530,84,86,88,111,101,60,4,False
391,597,396,Starly,"""Starling Pokemon""",0.3,2.0,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""",,,"""Reckless""","""Powers up moves that have recoil damage.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",40,55,30,30,30,60,245,0,0,0,0,0,1,1,255,"""Medium Slow""",1059860,49,"""Flying""",,15,,,396,Normal,Flying,245,40,55,30,30,30,60,4,False
392,598,397,Staravia,"""Starling Pokemon""",0.6,15.5,"""Normal""","""Flying""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""",,,"""Reckless""","""Powers up moves that have recoil damage.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",55,75,50,40,40,80,340,0,0,0,0,0,2,2,120,"""Medium Slow""",1059860,119,"""Flying""",,15,597.0,"""Level 14""",397,Normal,Flying,340,55,75,50,40,40,80,4,False
393,599,398,Staraptor,"""Predator Pokemon""",1.2,24.9,"""Normal""","""Flying""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""",,,"""Reckless""","""Powers up moves that have recoil damage.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",85,120,70,50,60,100,485,0,3,0,0,0,0,3,45,"""Medium Slow""",1059860,218,"""Flying""",,15,598.0,"""Level 34""",398,Normal,Flying,485,85,120,70,50,60,100,4,False
394,600,399,Bidoof,"""Plump Mouse Pokemon""",0.5,20.0,"""Normal""",,"""Simple""","""The stat changes the Pokémon receives are doubled.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""","""Moody""","""Raises one stat sharply and lowers another every turn.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",59,45,40,35,40,31,250,1,0,0,0,0,0,1,255,"""Medium Fast""",1000000,50,"""Water 1""","""Field""",15,,,399,Normal,,250,59,45,40,35,40,31,4,False
395,601,400,Bibarel,"""Beaver Pokemon""",1.0,31.5,"""Normal""","""Water""","""Simple""","""The stat changes the Pokémon receives are doubled.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""","""Moody""","""Raises one stat sharply and lowers another every turn.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",79,85,60,55,60,71,410,0,2,0,0,0,0,2,127,"""Medium Fast""",1000000,144,"""Water 1""","""Field""",15,600.0,"""Level 15""",400,Normal,Water,410,79,85,60,55,60,71,4,False
396,602,401,Kricketot,"""Cricket Pokemon""",0.3,2.2,"""Bug""",,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",,,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",37,25,41,25,41,25,194,0,0,1,0,0,0,1,255,"""Medium Slow""",1059860,39,"""Bug""",,15,,,401,Bug,,194,37,25,41,25,41,25,4,False
397,603,402,Kricketune,"""Cricket Pokemon""",1.0,25.5,"""Bug""",,"""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""",,,"""Technician""","""Powers up the Pokémon's weaker moves.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",77,85,51,55,51,65,384,0,2,0,0,0,0,2,45,"""Medium Slow""",1059860,134,"""Bug""",,15,602.0,"""Level 10""",402,Bug,,384,77,85,51,55,51,65,4,False
398,20,403,Shinx,"""Flash Pokemon""",0.5,9.5,"""Electric""",,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",45,65,34,40,34,45,263,0,1,0,0,0,0,1,235,"""Medium Slow""",1059860,53,"""Field""",,20,,,403,Electric,,263,45,65,34,40,34,45,4,False
399,21,404,Luxio,"""Spark Pokemon""",0.9,30.5,"""Electric""",,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",50.0,50.0,100,"""Diamond""","""Sinnoh""",60,85,49,60,49,60,363,0,2,0,0,0,0,2,120,"""Medium Slow""",1059860,127,"""Field""",,20,20.0,"""Level 15""",404,Electric,,363,60,85,49,60,49,60,4,False
400,22,405,Luxray,"""Gleam Eyes Pokemon""",1.4,42.0,"""Electric""",,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",80,120,79,95,79,70,523,0,3,0,0,0,0,3,45,"""Medium Slow""",1059860,235,"""Field""",,20,21.0,"""Level 30""",405,Electric,,523,80,120,79,95,79,70,4,False
401,604,406,Budew,"""Bud Pokemon""",0.2,1.2,"""Grass""","""Poison""","""Natural Cure""","""All status conditions heal when the Pokémon switches out.""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Leaf Guard""","""Prevents status conditions in harsh sunlight.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",40,30,35,50,70,55,280,0,0,0,1,0,0,1,255,"""Medium Slow""",1059860,56,"""Undiscovered""",,20,,,406,Grass,Poison,280,40,30,35,50,70,55,4,False
402,605,407,Roserade,"""Bouquet Pokemon""",0.9,14.5,"""Grass""","""Poison""","""Natural Cure""","""All status conditions heal when the Pokémon switches out.""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Technician""","""Powers up the Pokémon's weaker moves.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",60,70,65,125,105,90,515,0,0,0,3,0,0,3,75,"""Medium Slow""",1059860,232,"""Fairy""","""Grass""",20,443.0,"""Shiny Stone""",407,Grass,Poison,515,60,70,65,125,105,90,4,False
403,606,408,Cranidos,"""Head Butt Pokemon""",0.9,31.5,"""Rock""",,"""Mold Breaker""","""Moves can be used on the target regardless of its Abilities.""",,,"""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",67,125,40,30,30,58,350,0,1,0,0,0,0,1,45,"""Erratic""",600000,70,"""Monster""",,30,,,408,Rock,,350,67,125,40,30,30,58,4,False
404,607,409,Rampardos,"""Head Butt Pokemon""",1.6,102.5,"""Rock""",,"""Mold Breaker""","""Moves can be used on the target regardless of its Abilities.""",,,"""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",97,165,60,65,50,58,495,0,2,0,0,0,0,2,45,"""Erratic""",600000,173,"""Monster""",,30,606.0,"""Level 30""",409,Rock,,495,97,165,60,65,50,58,4,False
405,608,410,Shieldon,"""Shield Pokemon""",0.5,57.0,"""Rock""","""Steel""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""",,,"""Soundproof""","""Soundproofing gives the Pokémon full immunity to all sound-based moves.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",30,42,118,42,88,30,350,0,0,1,0,0,0,1,45,"""Erratic""",600000,70,"""Monster""",,30,,,410,Rock,Steel,350,30,42,118,42,88,30,4,False
406,609,411,Bastiodon,"""Shield Pokemon""",1.3,149.5,"""Rock""","""Steel""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""",,,"""Soundproof""","""Soundproofing gives the Pokémon full immunity to all sound-based moves.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",60,52,168,47,138,30,495,0,0,2,0,0,0,2,45,"""Erratic""",600000,173,"""Monster""",,30,608.0,"""Level 30""",411,Rock,Steel,495,60,52,168,47,138,30,4,False
407,610,412,Burmy,"""Bagworm Pokemon""",0.2,3.4,"""Bug""",,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",,,"""Overcoat""","""Protects the Pokémon from things like sand, hail, and powder.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",40,29,45,29,45,36,224,0,0,0,0,1,0,1,120,"""Medium Fast""",1000000,45,"""Bug""",,15,,,412,Bug,,224,40,29,45,29,45,36,4,False
408,612,414,Mothim,"""Moth Pokemon""",0.9,23.3,"""Bug""","""Flying""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""",,,"""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""",100.0,0.0,70,"""Diamond""","""Sinnoh""",70,94,50,94,50,66,424,0,1,0,1,0,0,2,45,"""Medium Fast""",1000000,148,"""Bug""",,15,610.0,"""Level 20 When Male""",414,Bug,Flying,424,70,94,50,94,50,66,4,False
409,613,415,Combee,"""Tiny Bee Pokemon""",0.3,5.5,"""Bug""","""Flying""","""Honey Gather""","""The Pokémon may gather Honey after a battle.""",,,"""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",87.5,12.5,70,"""Diamond""","""Sinnoh""",30,30,42,30,42,70,244,0,0,0,0,0,1,1,120,"""Medium Slow""",1059860,49,"""Bug""",,15,,,415,Bug,Flying,244,30,30,42,30,42,70,4,False
410,614,416,Vespiquen,"""Beehive Pokemon""",1.2,38.5,"""Bug""","""Flying""","""Pressure""","""By putting pressure on the opposing Pokémon, it raises their PP usage.""",,,"""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",0.0,100.0,70,"""Diamond""","""Sinnoh""",70,80,102,80,102,40,474,0,0,1,0,1,0,2,45,"""Medium Slow""",1059860,166,"""Bug""",,15,613.0,"""Level 21 When Female""",416,Bug,Flying,474,70,80,102,80,102,40,4,False
411,615,417,Pachirisu,"""EleSquirrel Pokemon""",0.4,3.9,"""Electric""",,"""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Pickup""","""The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.""","""Volt Absorb""","""Restores HP if hit by an Electric-type move instead of taking damage.""",50.0,50.0,100,"""Diamond""","""Sinnoh""",60,45,70,45,90,95,405,0,0,0,0,0,1,1,200,"""Medium Fast""",1000000,142,"""Field""","""Fairy""",10,,,417,Electric,,405,60,45,70,45,90,95,4,False
412,616,418,Buizel,"""Sea Weasel Pokemon""",0.7,29.5,"""Water""",,"""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""",,,"""Water Veil""","""The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",55,65,35,60,30,85,330,0,0,0,0,0,1,1,190,"""Medium Fast""",1000000,66,"""Water 1""","""Field""",20,,,418,Water,,330,55,65,35,60,30,85,4,False
413,617,419,Floatzel,"""Sea Weasel Pokemon""",1.1,33.5,"""Water""",,"""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""",,,"""Water Veil""","""The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",85,105,55,85,50,115,495,0,0,0,0,0,2,2,75,"""Medium Fast""",1000000,173,"""Water 1""","""Field""",20,616.0,"""Level 26""",419,Water,,495,85,105,55,85,50,115,4,False
414,618,420,Cherubi,"""Cherry Pokemon""",0.4,3.3,"""Grass""",,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,,,,,50.0,50.0,70,"""Diamond""","""Sinnoh""",45,35,45,62,53,35,275,0,0,0,1,0,0,1,190,"""Medium Fast""",1000000,55,"""Fairy""","""Grass""",20,,,420,Grass,,275,45,35,45,62,53,35,4,False
415,619,421,Cherrim,"""Blossom Pokemon""",0.5,9.3,"""Grass""",,"""Flower Gift""","""Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.""",,,,,50.0,50.0,70,"""Diamond""","""Sinnoh""",70,60,70,87,78,85,450,0,0,0,2,0,0,2,75,"""Medium Fast""",1000000,158,"""Fairy""","""Grass""",20,618.0,"""Level 25""",421,Grass,,450,70,60,70,87,78,85,4,False
416,620,422,Shellos,"""Sea Slug Pokemon""",0.3,6.3,"""Water""",,"""Sticky Hold""","""Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.""","""Storm Drain""","""Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",76,48,48,57,62,34,325,1,0,0,0,0,0,1,190,"""Medium Fast""",1000000,65,"""Water 1""","""Amorphous""",20,,,422,Water,,325,76,48,48,57,62,34,4,False
417,621,423,Gastrodon,"""Sea Slug Pokemon""",0.9,29.9,"""Water""","""Ground""","""Sticky Hold""","""Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.""","""Storm Drain""","""Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",111,83,68,92,82,39,475,2,0,0,0,0,0,2,75,"""Medium Fast""",1000000,166,"""Water 1""","""Amorphous""",20,620.0,"""Level 30""",423,Water,Ground,475,111,83,68,92,82,39,4,False
418,622,424,Ambipom,"""Long Tail Pokemon""",1.2,20.3,"""Normal""",,"""Technician""","""Powers up the Pokémon's weaker moves.""","""Pickup""","""The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.""","""Skill Link""","""Maximizes the number of times multistrike moves hit.""",50.0,50.0,100,"""Diamond""","""Sinnoh""",75,100,66,60,66,115,482,0,0,0,0,0,2,2,45,"""Fast""",800000,169,"""Field""",,20,290.0,"""Knowing Double Hit""",424,Normal,,482,75,100,66,60,66,115,4,False
419,623,425,Drifloon,"""Balloon Pokemon""",0.4,1.2,"""Ghost""","""Flying""","""Aftermath""","""Damages the attacker if it contacts the Pokémon with a finishing hit.""","""Unburden""","""Boosts the Speed stat if the Pokémon's held item is used or lost.""","""Flare Boost""","""Powers up special attacks when the Pokémon is burned.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",90,50,34,60,44,70,348,1,0,0,0,0,0,1,125,"""Fluctuating""",1640000,70,"""Amorphous""",,30,,,425,Ghost,Flying,348,90,50,34,60,44,70,4,False
420,624,426,Drifblim,"""Blimp Pokemon""",1.2,15.0,"""Ghost""","""Flying""","""Aftermath""","""Damages the attacker if it contacts the Pokémon with a finishing hit.""","""Unburden""","""Boosts the Speed stat if the Pokémon's held item is used or lost.""","""Flare Boost""","""Powers up special attacks when the Pokémon is burned.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",150,80,44,90,54,80,498,2,0,0,0,0,0,2,60,"""Fluctuating""",1640000,174,"""Amorphous""",,30,623.0,"""Level 28""",426,Ghost,Flying,498,150,80,44,90,54,80,4,False
421,625,427,Buneary,"""Rabbit Pokemon""",0.4,5.5,"""Normal""",,"""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Klutz""","""The Pokémon can't use any held items.""","""Limber""","""Its limber body protects the Pokémon from paralysis.""",50.0,50.0,0,"""Diamond""","""Sinnoh""",55,66,44,44,56,85,350,0,0,0,0,0,1,1,190,"""Medium Fast""",1000000,70,"""Field""","""Human-Like""",20,,,427,Normal,,350,55,66,44,44,56,85,4,False
422,626,428,Lopunny,"""Rabbit Pokemon""",1.2,33.3,"""Normal""",,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Klutz""","""The Pokémon can't use any held items.""","""Limber""","""Its limber body protects the Pokémon from paralysis.""",50.0,50.0,140,"""Diamond""","""Sinnoh""",65,76,84,54,96,105,480,0,0,0,0,0,2,2,60,"""Medium Fast""",1000000,168,"""Field""","""Human-Like""",20,625.0,,428,Normal,,480,65,76,84,54,96,105,4,False
423,627,429,Mismagius,"""Magical Pokemon""",0.9,4.4,"""Ghost""",,"""Levitate""","""By floating in the air, the Pokémon receives full immunity to all Ground-type moves.""",,,,,50.0,50.0,35,"""Diamond""","""Sinnoh""",60,60,60,105,105,105,495,0,0,0,1,1,0,2,45,"""Fast""",800000,173,"""Amorphous""",,25,324.0,"""Dusk Stone""",429,Ghost,,495,60,60,60,105,105,105,4,False
424,628,430,Honchkrow,"""Big Boss Pokemon""",0.9,27.3,"""Dark""","""Flying""","""Insomnia""","""The Pokémon is suffering from insomnia and cannot fall asleep.""","""Super Luck""","""The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.""","""Moxie""","""The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.""",50.0,50.0,35,"""Diamond""","""Sinnoh""",100,125,52,105,52,71,505,0,2,0,0,0,0,2,30,"""Medium Slow""",1059860,177,"""Flying""",,20,298.0,"""Dusk Stone""",430,Dark,Flying,505,100,125,52,105,52,71,4,False
425,629,431,Glameow,"""Catty Pokemon""",0.5,3.9,"""Normal""",,"""Limber""","""Its limber body protects the Pokémon from paralysis.""","""Own Tempo""","""This Pokémon has its own tempo, and that prevents it from becoming confused.""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""",25.0,75.0,70,"""Diamond""","""Sinnoh""",49,55,42,42,37,85,310,0,0,0,0,0,1,1,190,"""Fast""",800000,62,"""Field""",,20,,,431,Normal,,310,49,55,42,42,37,85,4,False
426,630,432,Purugly,"""Tiger Cat Pokemon""",1.0,43.8,"""Normal""",,"""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ""","""Own Tempo""","""This Pokémon has its own tempo, and that prevents it from becoming confused.""","""Defiant""","""Boosts the Pokémon's Attack stat sharply when its stats are lowered.""",25.0,75.0,70,"""Diamond""","""Sinnoh""",71,82,64,64,59,112,452,0,0,0,0,0,2,2,75,"""Fast""",800000,158,"""Field""",,20,629.0,"""Level 38""",432,Normal,,452,71,82,64,64,59,112,4,False
427,631,433,Chingling,"""Bell Pokemon""",0.2,0.6,"""Psychic""",,"""Levitate""","""By floating in the air, the Pokémon receives full immunity to all Ground-type moves.""",,,,,50.0,50.0,70,"""Diamond""","""Sinnoh""",45,30,50,65,50,45,285,0,0,0,1,0,0,1,120,"""Fast""",800000,57,"""Undiscovered""",,25,,,433,Psychic,,285,45,30,50,65,50,45,4,False
428,632,434,Stunky,"""Skunk Pokemon""",0.4,19.2,"""Poison""","""Dark""","""Stench""","""By releasing stench when attacking, this Pokémon may cause the target to flinch.""","""Aftermath""","""Damages the attacker if it contacts the Pokémon with a finishing hit.""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""",50.0,50.0,70,"""Diamond""","""Sinnoh""",63,63,47,41,41,74,329,0,0,0,0,0,1,1,225,"""Medium Fast""",1000000,66,"""Field""",,20,,,434,Poison,Dark,329,63,63,47,41,41,74,4,False
